,title,price,link
0,"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/1 TB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","34,970",https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CKLWMKYX/ref=sr_1_291?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.nNVnet5Ctm0m6jsOSxPwvcroXAVUKfE_l0r8q_1tlCzEjvgTUL8Na7_yfJFesUpzwE8VQBkPkGvVMaUXFjJo6xukfCKzYUUH1NDaQuaemcvsboUXUL0zbMZHYNy7s-QWlWNd5yw6pxEx9TUZvBeBGLHAcYUehS6N6F2oQvQ0o64xiUSsMXdf5mGo-Jfpr3f49IBdrO1UaBDSBF4O0R5cea6uHVP4aE16HCmwj3nnerI.Mb52bGFiqOQiu-rL7TM6i9-ZmsBZ69Izpqt5--5AqqQ&dib_tag=se&keywords=laptops&qid=1729599205&sprefix=laptops%2Caps%2C524&sr=8-291
1,"Walker Thin & Light Laptop, (4GB Ram,128GB SSD) |14.1 inch FHD IPS Display |1920 *1080 Resolution | Gemini Lake N4020 | UHD Graphics 600| Mini-HDMI| Bluetooth| Webcam | Windows 11 Home | Cloud Silver  ","12,990",https://www.amazon.in/Walker-Display-Resolution-Graphics-Mini-HDMI/dp/B0CGVLLWT3/ref=sr_1_118?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.nnXsPKls9er06jyRvedN2oCJ-iOUZkMRtq2WmlaXXnRpcDnudDmQOBYJzjFJ_FGEMBq_bjuoREwiVfFvEaX2CGCg_bRAcozN6Ckpdn_JRA1iYGA8EDx6rqQ7UM4Lj6tvaIdZN0pDpMwi173FbYTbTAJ3go1sPb72Igd5oV_0ydoOp4PCDj0xqHCZagaAm0_PyeJMeqDzoXWJKCM1CunKWM6MC2dcoLQpRpz5eXD4SVE.hc9dxdYM8KLfXBFugevBA0dGannJeey7-It48UBpTYA&dib_tag=se&keywords=laptops&qid=1729599163&sprefix=laptops%2Caps%2C524&sr=8-118
2,"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021 Pro Plus  ","41,990",https://www.amazon.in/Lenovo-Intel-Core-12th-1235U/dp/B0DJCNMC4C/ref=sr_1_79?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.frq3NIqmigJz77S1nWoMAq42qYhdfRNnIKqWCJT9dfIN5fB1i7dcT8dHG0U-KIfCFNj-AF1Y-qvTOSPzuRy9SCuayWQWXwSph4L0gLAnsh9_4rDNn1jsCxm3Gezpw1YXfev1vH-ie8UtPBlCeSfMHhWMNzRrnkLI3JsfkPtcPTWsXn6XHNE3GdyqCLbpA3ZP8luMq6bU96J97mGV9QRTOVk-I_qqxj7bdsbObQRY0Q0.JE565v6eyAd8sknDQDx6ydOXDS_bCfpss5axB2SvPLA&dib_tag=se&keywords=laptops&qid=1729599155&sprefix=laptops%2Caps%2C524&sr=8-79
3,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop  ","32,990",https://www.amazon.in/Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_3?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.IwjDZBYHoVMjMptuGDgwTkxDiiEhOtMWxqBKy8ezJRIz9xqg-OyIHIj5MiJu9ZBeRdf-U11zUACDFlEfVHNajdD5UuvoxI1ClkvIjrbAD0pqESOwjBU3q5GfN-CU9B3V4XofVBbteO-0kqomPh-i_hcocoBCCbDyht7fOu_kUP5Y0uj75C-4s2ZVhHc2VXTlq_yiemCqMWw_oLQmEHY3qSXodvpDZjrXJA3EXaM49b0.-rWMKZNatPDNz3XEh3naaeOIYu8T4VSNYpWiu540Tkk&dib_tag=se&keywords=laptops&qid=1729599139&sprefix=laptops%2Caps%2C524&sr=8-3
4,"ASUS VivoBook 15 (2022), Intel®Core i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021//Backlit KB/Icelight Silver/1.7 kg), X1502ZA-EJ322WS  ","31,990",https://www.amazon.in/ASUS-VivoBook-Intel%C2%AECoreTM-i3-1215U-X1502ZA-EJ322WS/dp/B0BTVMBLZC/ref=sr_1_132?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.y16ieHGWwZHHuKxG3tJHw9ADdtMciUlDH0f8VGPM0GK1q7apjyozJhDOmegrUCW0kQ2XFQIDXBDD7hjs6jWL6DZCWcsM7D4BVCUsumzvmv-VyJkC5j20Ln7RWkL8Rh5EjJz85-rbvUqH7Nz7v8cjPBp3kgidEm4VrZW95Kx8STxMiOl40QhDgNXFKelant9u8to01wxVjDbqukBjtFCjpMltcMA0gsJTAMQcAc30oqs.cw8M_H1BMXfBnGTMNoflCdZcGEKpxlIK_A7FSqo_560&dib_tag=se&keywords=laptops&qid=1729599166&sprefix=laptops%2Caps%2C524&sr=8-132
5,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","27,990",https://www.amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_16?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.IwjDZBYHoVMjMptuGDgwTkxDiiEhOtMWxqBKy8ezJRIz9xqg-OyIHIj5MiJu9ZBeRdf-U11zUACDFlEfVHNajdD5UuvoxI1ClkvIjrbAD0pqESOwjBU3q5GfN-CU9B3V4XofVBbteO-0kqomPh-i_hcocoBCCbDyht7fOu_kUP5Y0uj75C-4s2ZVhHc2VXTlq_yiemCqMWw_oLQmEHY3qSXodvpDZjrXJA3EXaM49b0.-rWMKZNatPDNz3XEh3naaeOIYu8T4VSNYpWiu540Tkk&dib_tag=se&keywords=laptops&qid=1729599139&sprefix=laptops%2Caps%2C524&sr=8-16
6,"ASUS Vivobook Go 15 (2023), Intel Core i3-N305, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Backlit KB/Silver/1.63 kg), E1504GA-NJ321WS  ","31,299",https://www.amazon.in/ASUS-Vivobook-Integrated-Graphics-E1504GA-NJ321WS/dp/B0C1GGZYS5/ref=sr_1_182?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.BecBvAJ9sTHfu7rMzQWH3z5SQ2T6xK6zdrs8VAeXTLBe9UY1_R_LwMKARccmTpuOYlJQMRXKJbZ6ZRshAWOgdWdLxr1jkF4n8vCRxlFGIs2DUes74HTMBPXq9xOBLlF7STymgj5MiLMGis3nfM5dvQNDJjDUAxjKMkPp5Gz7VJ17swrFuJHGdL2M1tV2VgP_3x07DTP5cVXyU_Z-5u3MFcxnHK4HwSZQEOqSvypTCyk.9F0qL8wRmdqeZ8WouXukq7ewQyMGrXvH5C_8wgYTCDU&dib_tag=se&keywords=laptops&qid=1729599175&sprefix=laptops%2Caps%2C524&sr=8-182
7,"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (8GB/512GB SSD/Intel Integrated UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021  ","30,780",https://www.amazon.in/Lenovo-V14-G3-Intel-1215U/dp/B0DGKZPWV5/ref=sr_1_42?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.a8w79wzLZlw3gmK6Vi8MGhtCfhFpXrXj_U_LyB_iHMKOZQDUyzNTOuUucuv1XbsGArcyWHztCKB_net1pSH-s-gSSCZ2aq2MzKZ8QadTtXKL0ZPyhG_wFVgnyCimUyT4UpkZZTZMHzEW3k9vkS5pNcDDAE5stecmmp9uN4xrkT3cjK3AgyZvNZWgR2NCoeqgdntLUwb2qFFrpUCqwdu3laaOQh9qPgwI0R5IkiFT01E.NhcgaiiZfKQPcHdzaRA79VpmPyAfudjqbYgCv6E85jo&dib_tag=se&keywords=laptops&qid=1729599149&sprefix=laptops%2Caps%2C524&sr=8-42
8,"ASUS TUF Gaming A15, 15.6"" FHD 144Hz 250nits, AMD Ryzen 9 8945H Processor, Gaming Laptop (32GB RAM/1TB SSD/NVIDIA GeForce RTX 4060/Windows 11/Office Home/Mecha Gray/2.2 Kg), FA507UV-LP137WS  ","1,24,990",https://www.amazon.in/ASUS-250nits-Processor-GeForce-FA507UV-LP137WS/dp/B0DBVP4B7Q/ref=sr_1_190?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.BecBvAJ9sTHfu7rMzQWH3z5SQ2T6xK6zdrs8VAeXTLBe9UY1_R_LwMKARccmTpuOYlJQMRXKJbZ6ZRshAWOgdWdLxr1jkF4n8vCRxlFGIs2DUes74HTMBPXq9xOBLlF7STymgj5MiLMGis3nfM5dvQNDJjDUAxjKMkPp5Gz7VJ17swrFuJHGdL2M1tV2VgP_3x07DTP5cVXyU_Z-5u3MFcxnHK4HwSZQEOqSvypTCyk.9F0qL8wRmdqeZ8WouXukq7ewQyMGrXvH5C_8wgYTCDU&dib_tag=se&keywords=laptops&qid=1729599175&sprefix=laptops%2Caps%2C524&sr=8-190
9,"Acer Swift Go 14 Built-in AI PC Premium Laptop Intel Core Ultra 5 125H(14-inch IPS Touchscreen WUXGA/16GB/512GB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win11/MSO)SFG14-73T, Pure Silver, 1.3kg  ","79,900",https://www.amazon.in/Acer-Premium-Touchscreen-Graphics-SFG14-73T/dp/B0CYHB7P1W/ref=sr_1_217?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.YFjebQvad6jGmYw3VwMpxbHjjWZa4Rfst_8PTYdYxWJDff89PFnNRRXfc3mxkixKzQZUPRNM48Pgd0qUkSo1gxWURO-2m4yrgoRgmrk1ipHxB7s8-JerKtlA8qU7ChLxp604fcJoBkR-9T2XoNvCpl3NXJa-60Sy1FTPauHvh1AhOBW0_Yglv0o2s-iNzLKH937vaefygfHxQNx6m-6i_2OVZDdlmteMoDtQlgnR7sI.uzrFEHbFKg5re0fNdnqdoo6pxqYZqZ1aAoPbrn0u1NQ&dib_tag=se&keywords=laptops&qid=1729599182&sprefix=laptops%2Caps%2C524&sr=8-217
